Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Mobile/Android/Checkout/Texts/txt_title_success_transaction""), ""THANK YOU FOR YOU ORDER"")",,,,09-02-2026 10:22:16,09-02-2026 10:22:16,0.314s,PASSED
"verifyElementText(findTestObject(""Mobile/Android/Checkout/Texts/txt_desc_success_transaction""), ""Your order has been dispatched, and will arrive just as fast as the pony can get there!"")",,,,09-02-2026 10:22:16,09-02-2026 10:22:17,0.335s,PASSED
closeApplication(),,,,09-02-2026 10:22:17,09-02-2026 10:22:17,0.528s,PASSED
,,,,,,,
Test Cases/Authentication/AUT-TC-P002_Success logout,,,,09-02-2026 10:22:17,09-02-2026 10:22:44,26.870s,PASSED
validUserName = userName,,,,09-02-2026 10:22:17,09-02-2026 10:22:17,0.001s,PASSED
validPassword = password,,,,09-02-2026 10:22:17,09-02-2026 10:22:17,0.001s,PASSED
startExistingApplication(appId),,,,09-02-2026 10:22:17,09-02-2026 10:22:29,11.186s,PASSED
"auth.Auth.login(validUserName, validPassword)",,,,09-02-2026 10:22:29,09-02-2026 10:22:38,9.202s,PASSED
auth.Logout.logout(),,,,09-02-2026 10:22:38,09-02-2026 10:22:41,3.700s,PASSED
"waitForElementPresent(findTestObject(""Mobile/Android/Authentication/Login/Texts/txt_login""), 15)",,,,09-02-2026 10:22:41,09-02-2026 10:22:43,1.910s,PASSED
"verifyElementText(findTestObject(""Mobile/Android/Authentication/Login/Texts/txt_login""), ""LOGIN"")",,,,09-02-2026 10:22:43,09-02-2026 10:22:44,0.308s,PASSED
closeApplication(),,,,09-02-2026 10:22:44,09-02-2026 10:22:44,0.444s,PASSED
,,,,,,,
Test Cases/Authentication/AUT-TC-N001_Failed login with locked credential,,,,09-02-2026 10:22:44,09-02-2026 10:23:06,22.304s,PASSED
lockedUserName = lockedOutUserName,,,,09-02-2026 10:22:44,09-02-2026 10:22:44,0.001s,PASSED
password = password,,,,09-02-2026 10:22:44,09-02-2026 10:22:44,0.001s,PASSED
"startExistingApplication(appId, STOP_ON_FAILURE)",,,,09-02-2026 10:22:44,09-02-2026 10:22:56,11.307s,PASSED
"auth.Auth.loginUseLockedCred(lockedUserName, password)",,,,09-02-2026 10:22:56,09-02-2026 10:23:05,9.457s,PASSED
"verifyElementText(findTestObject(""Mobile/Android/Authentication/Login/Texts/txt_locked_user""), ""Sorry, this user has been locked out."")",,,,09-02-2026 10:23:05,09-02-2026 10:23:06,0.896s,PASSED
closeApplication(),,,,09-02-2026 10:23:06,09-02-2026 10:23:06,0.526s,PASSED
